Symbol,Industry
3MINDIA,Diversified
ABB,Capital Goods
ACC,Construction Materials
ADFFOODS,Fast Moving Consumer Goods
AGI,Capital Goods
AIAENG,Capital Goods
APLAPOLLO,Capital Goods
AUBANK,Financial Services
AARTIDRUGS,Healthcare
AAVAS,Financial Services
ABBOTINDIA,Healthcare
ACCELYA,Information Technology
ACE,Capital Goods
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ATGL,Oil Gas & Consumable Fuels
ADANITRANS,Power
ABCAPITAL,Financial Services
ABFRL,Consumer Services
ABSLAMC,Financial Services
ADVENZYMES,Fast Moving Consumer Goods
AEGISCHEM,Oil Gas & Consumable Fuels
AFFLE,Information Technology
AHLUCONT,Construction
AJANTPHARM,Healthcare
AKZOINDIA,Consumer Durables
ALEMBICLTD,Realty
APLLTD,Healthcare
ALKEM,Healthcare
ALKYLAMINE,Chemicals
ALLCARGO,Services
ALOKINDS,Textiles
AMARAJABAT,Automobile and Auto Components
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
AMIORG,Healthcare
AMRUTANJAN,Healthcare
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANDHRSUGAR,Chemicals
ANGELONE,Financial Services
ANURAS,Chemicals
APARINDS,Capital Goods
APCOTEXIND,Capital Goods
APOLLOHOSP,Healthcare
APOLLOPIPE,Capital Goods
APOLLOTYRE,Automobile and Auto Components
APTUS,Financial Services
ARVINDFASN,Consumer Services
ARVIND,Textiles
ASAHIINDIA,Automobile and Auto Components
ASHIANA,Realty
ASHOKLEY,Capital Goods
ASHOKA,Construction
ASIANPAINT,Consumer Durables
ASTEC,Chemicals
ASTERDM,Healthcare
ASTRAMICRO,Capital Goods
ASTRAZEN,Healthcare
ASTRAL,Capital Goods
ATUL,Chemicals
AUROPHARMA,Healthcare
AUTOAXLES,Automobile and Auto Components
AVANTIFEED,Fast Moving Consumer Goods
DMART,Consumer Services
AXISBANK,Financial Services
BASF,Chemicals
BFUTILITIE,Construction
BLS,Consumer Services
BSE,Financial Services
BAJAJ-AUTO,Automobile and Auto Components
BAJAJCON,Fast Moving Consumer Goods
BAJAJELEC,Consumer Durables
BAJFINANCE,Financial Services
BAJAJFINSV,Financial Services
BAJAJHIND,Fast Moving Consumer Goods
BAJAJHLDNG,Financial Services
BALAMINES,Chemicals
BALKRISIND,Automobile and Auto Components
BALMLAWRIE,Diversified
BALRAMCHIN,Fast Moving Consumer Goods
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
MAHABANK,Financial Services
BARBEQUE,Consumer Services
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BERGEPAINT,Consumer Durables
BESTAGRO,Chemicals
BEPL,Chemicals
BDL,Capital Goods
BEL,Capital Goods
BHARATFORG,Capital Goods
BHEL,Capital Goods
BPCL,Oil Gas & Consumable Fuels
BHARATRAS,Chemicals
BHARTIARTL,Telecommunication
BIOCON,Healthcare
BIRLACORPN,Construction Materials
BSOFT,Information Technology
BLUEDART,Services
BLUESTARCO,Consumer Durables
BBTC,Fast Moving Consumer Goods
BOMDYEING,Textiles
BOROLTD,Consumer Durables
BORORENEW,Capital Goods
BOSCHLTD,Automobile and Auto Components
BRIGADE,Realty
BCG,Information Technology
BRITANNIA,Fast Moving Consumer Goods
MAPMYINDIA,Information Technology
CARERATING,Financial Services
CCL,Fast Moving Consumer Goods
CESC,Power
CGPOWER,Capital Goods
CMSINFO,Services
CRISIL,Financial Services
CSBBANK,Financial Services
CAMLINFINE,Chemicals
CAMPUS,Consumer Durables
CANFINHOME,Financial Services
CANBK,Financial Services
CAPLIPOINT,Healthcare
CGCL,Financial Services
CARBORUNIV,Capital Goods
CARTRADE,Consumer Services
CASTROLIND,Oil Gas & Consumable Fuels
CEATLTD,Automobile and Auto Components
CENTRALBK,Financial Services
CDSL,Financial Services
CENTRUM,Financial Services
CENTURYPLY,Consumer Durables
CENTURYTEX,Forest Materials
CERA,Consumer Durables
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHEMCON,Chemicals
CHEMPLASTS,Chemicals
CHENNPETRO,Oil Gas & Consumable Fuels
CHOLAHLDNG,Financial Services
CHOLAFIN,Financial Services
CIGNITITEC,Information Technology
CIPLA,Healthcare
CUB,Financial Services
CLEAN,Chemicals
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COLPAL,Fast Moving Consumer Goods
CAMS,Financial Services
CONFIPET,Oil Gas & Consumable Fuels
CONCOR,Services
COROMANDEL,Chemicals
COSMOFIRST,Capital Goods
CRAFTSMAN,Automobile and Auto Components
CREDITACC,Financial Services
CROMPTON,Consumer Durables
CUMMINSIND,Capital Goods
CYIENT,Information Technology
DBCORP,Media Entertainment & Publication
DCBBANK,Financial Services
DCMSHRIRAM,Diversified
DFMFOODS,Fast Moving Consumer Goods
DLF,Realty
DABUR,Fast Moving Consumer Goods
DALBHARAT,Construction Materials
DALMIASUG,Fast Moving Consumer Goods
DATAPATTNS,Capital Goods
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DELHIVERY,Services
DELTACORP,Consumer Services
DEN,Media Entertainment & Publication
DEVYANI,Consumer Services
DHANI,Financial Services
DHANUKA,Chemicals
DBL,Construction
DISHTV,Media Entertainment & Publication
DCAL,Healthcare
DIVISLAB,Healthcare
DIXON,Consumer Durables
DODLA,Fast Moving Consumer Goods
DOLATALGO,Financial Services
DOLLAR,Textiles
LALPATHLAB,Healthcare
DRREDDY,Healthcare
EIDPARRY,Fast Moving Consumer Goods
EIHOTEL,Consumer Services
EPL,Capital Goods
ESABINDIA,Capital Goods
EASEMYTRIP,Consumer Services
EDELWEISS,Financial Services
EICHERMOT,Automobile and Auto Components
ELECTCAST,Capital Goods
ELGIEQUIP,Capital Goods
EMAMILTD,Fast Moving Consumer Goods
ENDURANCE,Automobile and Auto Components
ENGINERSIN,Construction
EQUITAS,Financial Services
EQUITASBNK,Financial Services
ERIS,Healthcare
ESCORTS,Capital Goods
EVEREADY,Fast Moving Consumer Goods
EXIDEIND,Automobile and Auto Components
FDC,Healthcare
NYKAA,Consumer Services
FAIRCHEMOR,Chemicals
FEDERALBNK,Financial Services
FACT,Chemicals
FILATEX,Textiles
FINEORG,Chemicals
FINOPB,Financial Services
FINCABLES,Capital Goods
FINPIPE,Capital Goods
FSL,Information Technology
FORCEMOT,Automobile and Auto Components
FORTIS,Healthcare
FCONSUMER,Consumer Services
FRETAIL,Consumer Services
GRINFRA,Construction
GAIL,Oil Gas & Consumable Fuels
GEPIL,Capital Goods
GET&D,Capital Goods
GHCL,Chemicals
GMMPFAUDLR,Capital Goods
GMRINFRA,Services
GTLINFRA,Telecommunication
GTPL,Media Entertainment & Publication
GABRIEL,Automobile and Auto Components
GALAXYSURF,Chemicals
GRSE,Capital Goods
GARFIBRES,Textiles
GATEWAY,Services
GATI,Services
GICRE,Financial Services
GEOJITFSL,Financial Services
GLAND,Healthcare
GLAXO,Healthcare
GLS,Healthcare
GLENMARK,Healthcare
GLOBUSSPR,Fast Moving Consumer Goods
GOCOLORS,Consumer Services
GPIL,Capital Goods
GODFRYPHLP,Fast Moving Consumer Goods
GODREJAGRO,Fast Moving Consumer Goods
GODREJCP,Fast Moving Consumer Goods
GODREJIND,Fast Moving Consumer Goods
GODREJPROP,Realty
GOODYEAR,Automobile and Auto Components
GRANULES,Healthcare
GRAPHITE,Capital Goods
GRASIM,Construction Materials
GESHIP,Services
GREAVESCOT,Capital Goods
GREENLAM,Consumer Durables
GREENPANEL,Consumer Durables
GREENPLY,Consumer Durables
GRINDWELL,Capital Goods
GUJALKALI,Chemicals
GAEL,Fast Moving Consumer Goods
FLUOROCHEM,Chemicals
GUJGASLTD,Oil Gas & Consumable Fuels
GMDCLTD,Metals & Mining
GNFC,Chemicals
GPPL,Services
GSFC,Chemicals
GSPL,Oil Gas & Consumable Fuels
GULFOILLUB,Oil Gas & Consumable Fuels
HEG,Capital Goods
HGINFRA,Construction
HBLPOWER,Capital Goods
HCLTECH,Information Technology
HDFCAMC,Financial Services
HDFCBANK,Financial Services
HDFCLIFE,Financial Services
HFCL,Telecommunication
HIL,Consumer Durables
HLEGLAS,Capital Goods
HAPPSTMNDS,Information Technology
HATHWAY,Media Entertainment & Publication
HATSUN,Fast Moving Consumer Goods
HAVELLS,Consumer Durables
HCG,Healthcare
HEIDELBERG,Construction Materials
HEMIPROP,Realty
HERANBA,Chemicals
HERITGFOOD,Fast Moving Consumer Goods
HEROMOTOCO,Automobile and Auto Components
HESTERBIO,Healthcare
HIKAL,Healthcare
HSCL,Chemicals
HIMATSEIDE,Textiles
HINDALCO,Metals & Mining
HGS,Services
HAL,Capital Goods
HCC,Construction
HINDCOPPER,Metals & Mining
HINDOILEXP,Oil Gas & Consumable Fuels
HINDPETRO,Oil Gas & Consumable Fuels
HINDUNILVR,Fast Moving Consumer Goods
HINDZINC,Metals & Mining
HINDWAREAP,Consumer Durables
POWERINDIA,Capital Goods
HOMEFIRST,Financial Services
HONAUT,Capital Goods
HUDCO,Financial Services
HDFC,Financial Services
IGPL,Chemicals
ICICIBANK,Financial Services
ICICIGI,Financial Services
ICICIPRULI,Financial Services
ISEC,Financial Services
IDBI,Financial Services
IDFCFIRSTB,Financial Services
IDFC,Financial Services
IFBIND,Consumer Durables
IFCI,Financial Services
IIFL,Financial Services
IIFLSEC,Financial Services
IIFLWAM,Financial Services
INEOSSTYRO,Chemicals
IOLCP,Healthcare
IRB,Construction
IRCON,Construction
ITC,Fast Moving Consumer Goods
ITI,Telecommunication
IGARASHI,Automobile and Auto Components
INDIACEM,Construction Materials
INDIAGLYCO,Chemicals
IPL,Chemicals
IBULHSGFIN,Financial Services
IBREALEST,Realty
INDIAMART,Consumer Services
INDIANB,Financial Services
IEX,Financial Services
INDHOTEL,Consumer Services
IMFA,Metals & Mining
IOC,Oil Gas & Consumable Fuels
IOB,Financial Services
IRCTC,Consumer Services
IRFC,Financial Services
INDIGOPNTS,Consumer Durables
ICIL,Textiles
INDOSTAR,Financial Services
INDOCO,Healthcare
IGL,Oil Gas & Consumable Fuels
INDUSTOWER,Telecommunication
INDUSINDBK,Financial Services
INFIBEAM,Financial Services
NAUKRI,Consumer Services
INFY,Information Technology
INGERRAND,Capital Goods
INOXLEISUR,Media Entertainment & Publication
INOXWIND,Capital Goods
INTELLECT,Information Technology
INDIGO,Services
IONEXCHANG,Construction
IPCALAB,Healthcare
ISGEC,Construction
JBCHEPHARM,Healthcare
JKCEMENT,Construction Materials
JBMA,Automobile and Auto Components
JKLAKSHMI,Construction Materials
JKPAPER,Forest Materials
JKTYRE,Automobile and Auto Components
JMFINANCIL,Financial Services
JMCPROJECT,Construction
JSWENERGY,Power
JSWISPL,Metals & Mining
JSWSTEEL,Metals & Mining
JTEKTINDIA,Automobile and Auto Components
JAICORPLTD,Capital Goods
JISLJALEQS,Capital Goods
JPASSOCIAT,Construction
JPPOWER,Power
J&KBANK,Financial Services
JAMNAAUTO,Automobile and Auto Components
JINDALPOLY,Capital Goods
JINDALSAW,Capital Goods
JSL,Metals & Mining
JINDALSTEL,Metals & Mining
JINDWORLD,Textiles
JCHAC,Consumer Durables
JUBLFOOD,Consumer Services
JUBLINGREA,Chemicals
JUBLPHARMA,Healthcare
JUSTDIAL,Consumer Services
JYOTHYLAB,Fast Moving Consumer Goods
KPRMILL,Textiles
KCP,Construction Materials
KEI,Capital Goods
KNRCON,Construction
KPITTECH,Information Technology
KRBL,Fast Moving Consumer Goods
KSB,Capital Goods
KAJARIACER,Consumer Durables
KALPATPOWR,Construction
KALYANKJIL,Consumer Durables
KSL,Metals & Mining
KANSAINER,Consumer Durables
KTKBANK,Financial Services
KARURVYSYA,Financial Services
KSCL,Fast Moving Consumer Goods
KEC,Capital Goods
KENNAMET,Capital Goods
KIRIINDUS,Chemicals
KIRLFER,Metals & Mining
KIRLOSENG,Capital Goods
KOLTEPATIL,Realty
KOTAKBANK,Financial Services
KIMS,Healthcare
KRSNAA,Healthcare
L&TFH,Financial Services
LTTS,Information Technology
LGBBROSLTD,Automobile and Auto Components
LICHSGFIN,Financial Services
DAAWAT,Fast Moving Consumer Goods
LAOPALA,Consumer Durables
LAXMIMACH,Capital Goods
LTI,Information Technology
LT,Construction
LATENTVIEW,Information Technology
LAURUSLABS,Healthcare
LXCHEM,Chemicals
LEMONTREE,Consumer Services
LICI,Financial Services
LINDEINDIA,Chemicals
LUPIN,Healthcare
LUXIND,Textiles
MASFIN,Financial Services
MMTC,Services
MOIL,Metals & Mining
MRF,Automobile and Auto Components
MSTCLTD,Services
MTARTECH,Capital Goods
LODHA,Realty
MGL,Oil Gas & Consumable Fuels
MAHSCOOTER,Financial Services
MAHSEAMLES,Capital Goods
M&MFIN,Financial Services
M&M,Automobile and Auto Components
MAHINDCIE,Automobile and Auto Components
MHRIL,Consumer Services
MAHLIFE,Realty
MAHLOG,Services
MAITHANALL,Metals & Mining
MANINFRA,Construction
MANAPPURAM,Financial Services
MRPL,Oil Gas & Consumable Fuels
MARICO,Fast Moving Consumer Goods
MARKSANS,Healthcare
MARUTI,Automobile and Auto Components
MASTEK,Information Technology
MATRIMONY,Consumer Services
MFSL,Financial Services
MAXHEALTH,Healthcare
MAYURUNIQ,Consumer Durables
MAZDOCK,Capital Goods
MEDPLUS,Consumer Services
MFL,Chemicals
MOL,Chemicals
METROBRAND,Consumer Durables
METROPOLIS,Healthcare
MINDTREE,Information Technology
MINDACORP,Automobile and Auto Components
MIDHANI,Capital Goods
MOLDTKPAC,Capital Goods
MOREPENLAB,Healthcare
MOTILALOFS,Financial Services
MPHASIS,Information Technology
BECTORFOOD,Fast Moving Consumer Goods
MCX,Financial Services
MUTHOOTFIN,Financial Services
NATCOPHARM,Healthcare
NBCC,Construction
NCC,Construction
NEOGEN,Chemicals
NESCO,Services
NHPC,Power
NIITLTD,Consumer Services
NLCINDIA,Power
NOCIL,Chemicals
NRBBEARING,Capital Goods
NTPC,Power
NH,Healthcare
NATIONALUM,Metals & Mining
NFL,Chemicals
NAVA,Power
NAVINFLUOR,Chemicals
NAVNETEDUL,Media Entertainment & Publication
NAZARA,Media Entertainment & Publication
NESTLEIND,Fast Moving Consumer Goods
NETWORK18,Media Entertainment & Publication
NEULANDLAB,Healthcare
NEWGEN,Information Technology
NILKAMAL,Consumer Durables
NAM-INDIA,Financial Services
NUCLEUS,Information Technology
NUVOCO,Construction Materials
OBEROIRLTY,Realty
ONGC,Oil Gas & Consumable Fuels
OIL,Oil Gas & Consumable Fuels
OLECTRA,Automobile and Auto Components
PAYTM,Financial Services
OPTIEMUS,Telecommunication
OFSS,Information Technology
ORIENTCEM,Construction Materials
ORIENTELEC,Consumer Durables
ORISSAMINE,Metals & Mining
POLICYBZR,Financial Services
PCBL,Chemicals
PIIND,Chemicals
PNBHOUSING,Financial Services
PNCINFRA,Construction
PSPPROJECT,Construction
PTC,Power
PVR,Media Entertainment & Publication
PAGEIND,Textiles
PAISALO,Financial Services
PANACEABIO,Healthcare
PARAS,Capital Goods
PERSISTENT,Information Technology
PETRONET,Oil Gas & Consumable Fuels
PFIZER,Healthcare
PHOENIXLTD,Realty
PIDILITIND,Chemicals
PILANIINVS,Financial Services
POLYMED,Healthcare
POLYCAB,Capital Goods
POLYPLEX,Capital Goods
POONAWALLA,Financial Services
PFC,Financial Services
POWERGRID,Power
PRAJIND,Capital Goods
DIAMONDYD,Fast Moving Consumer Goods
PRESTIGE,Realty
PRINCEPIPE,Capital Goods
PRSMJOHNSN,Construction Materials
PRIVISCL,Chemicals
PGHL,Healthcare
PGHH,Fast Moving Consumer Goods
PUNJABCHEM,Chemicals
PNB,Financial Services
PURVA,Realty
QUESS,Services
RSYSTEMS,Information Technology
RBLBANK,Financial Services
RECLTD,Financial Services
RHIM,Capital Goods
RITES,Construction
RPSGVENT,Services
RADICO,Fast Moving Consumer Goods
RVNL,Construction
RAILTEL,Telecommunication
RAIN,Chemicals
RAJESHEXPO,Consumer Durables
RALLIS,Chemicals
RAMCOIND,Construction Materials
RKFORGE,Capital Goods
RCF,Chemicals
RATEGAIN,Information Technology
RATNAMANI,Capital Goods
RTNINDIA,Services
RTNPOWER,Power
RAYMOND,Textiles
REDINGTON,Services
RELAXO,Consumer Durables
RELIANCE,Oil Gas & Consumable Fuels
RELINFRA,Power
RPOWER,Power
RELIGARE,Financial Services
REPCOHOME,Financial Services
RESPONIND,Consumer Durables
RBA,Consumer Services
ROLEXRINGS,Automobile and Auto Components
ROSSARI,Chemicals
ROUTE,Telecommunication
RUPA,Textiles
SHK,Fast Moving Consumer Goods
SBICARD,Financial Services
SBILIFE,Financial Services
SEAMECLTD,Services
SIS,Services
SJVN,Power
SKFINDIA,Capital Goods
SRF,Chemicals
SAGCEM,Construction Materials
SANDHAR,Automobile and Auto Components
SANGHIIND,Construction Materials
SANOFI,Healthcare
SANSERA,Automobile and Auto Components
SAPPHIRE,Consumer Services
SARDAEN,Metals & Mining
SAREGAMA,Media Entertainment & Publication
SASKEN,Information Technology
SOTL,Oil Gas & Consumable Fuels
SCHAEFFLER,Automobile and Auto Components
SCHNEIDER,Capital Goods
SEQUENT,Healthcare
SHALBY,Healthcare
SHARDACROP,Chemicals
SHAREINDIA,Financial Services
SFL,Consumer Durables
SHILPAMED,Healthcare
SCI,Services
SHOPERSTOP,Consumer Services
SHREECEM,Construction Materials
RENUKA,Fast Moving Consumer Goods
SRTRANSFIN,Financial Services
SHYAMMETL,Metals & Mining
SIEMENS,Capital Goods
SIYSIL,Textiles
SOBHA,Realty
SOLARINDS,Chemicals
SOLARA,Healthcare
SOMANYCERA,Consumer Durables
SONACOMS,Automobile and Auto Components
SONATSOFTW,Information Technology
SOUTHBANK,Financial Services
SPANDANA,Financial Services
SPICEJET,Services
STARCEMENT,Construction Materials
STARHEALTH,Financial Services
SBIN,Financial Services
SAIL,Metals & Mining
SSWL,Automobile and Auto Components
SWSOLAR,Construction
STLTECH,Telecommunication
STOVEKRAFT,Consumer Durables
STAR,Healthcare
SUBEXLTD,Information Technology
SUBROS,Automobile and Auto Components
SUDARSCHEM,Chemicals
SUMICHEM,Chemicals
SPARC,Healthcare
SUNPHARMA,Healthcare
SUNTV,Media Entertainment & Publication
SUNCLAYLTD,Automobile and Auto Components
SUNDARMFIN,Financial Services
SUNDRMFAST,Automobile and Auto Components
SUNTECK,Realty
SUPRAJIT,Automobile and Auto Components
SUPREMEIND,Capital Goods
SUPRIYA,Healthcare
SURYAROSNI,Capital Goods
SURYODAY,Financial Services
SUVENPHAR,Healthcare
SUZLON,Capital Goods
SWANENERGY,Textiles
SWARAJENG,Capital Goods
SYMPHONY,Consumer Durables
SYNGENE,Healthcare
TCIEXP,Services
TCNSBRANDS,Textiles
TTKPRESTIG,Consumer Durables
TVTODAY,Media Entertainment & Publication
TV18BRDCST,Media Entertainment & Publication
TVSMOTOR,Automobile and Auto Components
TVSSRICHAK,Automobile and Auto Components
TANLA,Information Technology
TARSONS,Healthcare
TASTYBITE,Fast Moving Consumer Goods
TATACHEM,Chemicals
TATACOFFEE,Fast Moving Consumer Goods
TATACOMM,Telecommunication
TCS,Information Technology
TATACONSUM,Fast Moving Consumer Goods
TATAELXSI,Information Technology
TATAINVEST,Financial Services
TATAMETALI,Metals & Mining
TATAMTRDVR,Automobile and Auto Components
TATAMOTORS,Automobile and Auto Components
TATAPOWER,Power
TATASTLLP,Capital Goods
TATASTEEL,Metals & Mining
TTML,Telecommunication
TATVA,Chemicals
TEAMLEASE,Services
TECHM,Information Technology
TECHNOE,Construction
TEGA,Capital Goods
TEJASNET,Telecommunication
NIACL,Financial Services
RAMCOCEM,Construction Materials
THERMAX,Capital Goods
TIRUMALCHM,Chemicals
THOMASCOOK,Consumer Services
THYROCARE,Healthcare
TIDEWATER,Oil Gas & Consumable Fuels
TIMETECHNO,Capital Goods
TIMKEN,Capital Goods
TINPLATE,Capital Goods
TITAN,Consumer Durables
TORNTPHARM,Healthcare
TORNTPOWER,Power
TCI,Services
TRENT,Consumer Services
TRIDENT,Textiles
TRIVENI,Fast Moving Consumer Goods
TRITURBINE,Capital Goods
TIINDIA,Automobile and Auto Components
UCOBANK,Financial Services
UFLEX,Capital Goods
UNOMINDA,Automobile and Auto Components
UPL,Chemicals
UTIAMC,Financial Services
UJJIVANSFB,Financial Services
ULTRACEMCO,Construction Materials
UNICHEMLAB,Healthcare
UNIONBANK,Financial Services
UBL,Fast Moving Consumer Goods
MCDOWELL-N,Fast Moving Consumer Goods
USHAMART,Capital Goods
VGUARD,Consumer Durables
VMART,Consumer Services
VIPIND,Consumer Durables
VSTTILLERS,Capital Goods
VRLLOG,Services
VSTIND,Fast Moving Consumer Goods
WABAG,Utilities
VAIBHAVGBL,Consumer Services
VAKRANGEE,Information Technology
VALIANTORG,Chemicals
VTL,Textiles
VARROC,Automobile and Auto Components
VBL,Fast Moving Consumer Goods
VEDL,Metals & Mining
VENKEYS,Fast Moving Consumer Goods
VIJAYA,Healthcare
VINATIORGA,Chemicals
IDEA,Telecommunication
VOLTAMP,Capital Goods
VOLTAS,Consumer Durables
WELCORP,Capital Goods
WELENT,Construction
WELSPUNIND,Textiles
WSTCSTPAPR,Forest Materials
WESTLIFE,Consumer Services
WHIRLPOOL,Consumer Durables
WIPRO,Information Technology
WOCKPHARMA,Healthcare
YESBANK,Financial Services
ZFCVINDIA,Automobile and Auto Components
ZEEL,Media Entertainment & Publication
ZENSARTECH,Information Technology
ZOMATO,Consumer Services
ZYDUSLIFE,Healthcare
ZYDUSWELL,Fast Moving Consumer Goods
ECLERX,Services
